task,n_ops,seed,prompt,answer,seq_len,winding,shape,steps_settle,mean_normed_accel
count_ones,2,0,Sequence: 1 1. How many ones are in the first 2 symbols? A:,2,18,1.2459973030515625,settle,128,0.7957504391670227
count_ones,2,1,Sequence: 0 0. How many ones are in the first 2 symbols? A:,0,18,5.588866578816031,settle,128,0.7997041940689087
count_ones,2,2,Sequence: 0 0. How many ones are in the first 2 symbols? A:,0,18,5.588866390438222,settle,128,0.7997041940689087
count_ones,2,3,Sequence: 0 0. How many ones are in the first 2 symbols? A:,0,18,5.588865752567773,settle,128,0.7997041940689087
count_ones,2,4,Sequence: 0 1. How many ones are in the first 2 symbols? A:,1,18,8.442476910495769,settle,128,0.7831662893295288
count_ones,4,0,Sequence: 1 1 0 1. How many ones are in the first 4 symbols? A:,3,20,0.7891416181858821,settle,128,0.7835972905158997
count_ones,4,1,Sequence: 0 0 1 0. How many ones are in the first 4 symbols? A:,1,20,1.7924437868623555,settle,128,0.7921026349067688
count_ones,4,2,Sequence: 0 0 0 1. How many ones are in the first 4 symbols? A:,1,20,2.878115089573585,settle,128,0.7856336832046509
count_ones,4,3,Sequence: 0 0 1 1. How many ones are in the first 4 symbols? A:,2,20,1.6477997668031485,settle,128,0.7774608135223389
count_ones,4,4,Sequence: 0 1 0 1. How many ones are in the first 4 symbols? A:,2,20,1.3310602859015401,settle,128,0.7748748064041138
count_ones,8,0,Sequence: 1 1 0 1 1 1 1 1. How many ones are in the first 8 symbols? A:,7,24,0.5803388017379395,settle,128,0.7621294856071472
count_ones,8,1,Sequence: 0 0 1 0 1 1 1 1. How many ones are in the first 8 symbols? A:,5,24,0.6903282672679375,settle,128,0.7859523892402649
count_ones,8,2,Sequence: 0 0 0 1 0 1 1 0. How many ones are in the first 8 symbols? A:,3,24,0.48405746428943597,settle,128,0.7802935838699341
count_ones,8,3,Sequence: 0 0 1 1 0 0 1 1. How many ones are in the first 8 symbols? A:,4,24,0.6003018232057067,settle,128,0.7920739650726318
count_ones,8,4,Sequence: 0 1 0 1 1 0 0 0. How many ones are in the first 8 symbols? A:,3,24,1.615449918031517,settle,128,0.7622860670089722
